slevel,time,alarms,coverage
0,0.8831,12,61.5
50,1.0413,29,94.8
100,1.2021,33,97.1
150,1.1009,11,68.7
200,1.1618,6,66.0
300,1.144,6,66.0
400,1.3426,11,68.7
500,1.6701,33,97.1
600,1.6999,33,97.1
700,1.6359,29,97.1
800,1.7362,29,97.1
900,1.7475,6,66.0
1000,2.0415,33,97.1
1100,2.3812,33,97.1
1200,2.2123,29,97.1
1300,2.0769,33,97.1
1400,2.1355,33,97.1
1500,2.4245,6,66.0
2000,3.0922,29,97.1
3000,3.989,29,95.5
4000,5.0227,6,66.0
5000,6.0554,0,48.5
6000,5.5324,0,48.5
7000,5.3342,0,48.5
8000,5.4136,0,48.5
9000,5.694,0,48.5
10000,5.3318,0,48.5
